Model,Attack_Type,Param,Accuracy
Adaptive-Saliency-AT(N5R1),Fixed-Saliency,r=3,84.44
Adaptive-Saliency-AT(N5R1),Adaptive-Saliency,"N=3,R=3",85.22
Adaptive-Saliency-AT(N5R1),Adaptive-Saliency,"N=5,R=3",72.59
Adaptive-Saliency-AT(N5R1),Adaptive-Saliency,"N=7,R=3",61.29
Adaptive-Saliency-AT(N5R1),Adaptive-Saliency,"N=10,R=3",46.49
Adaptive-Saliency-AT(N5R1),Adaptive-Saliency,"N=5,R=2",91.02
Adaptive-Saliency-AT(N5R1),Adaptive-Saliency,"N=5,R=3",72.59
Adaptive-Saliency-AT(N5R1),Adaptive-Saliency,"N=5,R=4",51.03
Adaptive-Saliency-AT(N5R3),Clean,-,98.73
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,k=3,98.62
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,k=5,98.61
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,k=7,98.49
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,k=9,98.43
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,k=12,98.31
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,k=15,98.2
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,r=1,98.43
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,r=2,98.1
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,r=3,96.85
Adaptive-Saliency-AT(N5R3),Adaptive-Saliency,"N=3,R=3",95.97
Adaptive-Saliency-AT(N5R3),Adaptive-Saliency,"N=5,R=3",94.3
Adaptive-Saliency-AT(N5R3),Adaptive-Saliency,"N=7,R=3",92.44
Adaptive-Saliency-AT(N5R3),Adaptive-Saliency,"N=10,R=3",88.74
Adaptive-Saliency-AT(N5R3),Adaptive-Saliency,"N=5,R=2",96.41
Adaptive-Saliency-AT(N5R3),Adaptive-Saliency,"N=5,R=3",94.3
Adaptive-Saliency-AT(N5R3),Adaptive-Saliency,"N=5,R=4",88.11
Adaptive-Mixed-AT,Clean,-,98.9
Adaptive-Mixed-AT,Fixed-Saliency,k=3,97.3
Adaptive-Mixed-AT,Fixed-Saliency,k=5,96.14
Adaptive-Mixed-AT,Fixed-Saliency,k=7,95.2
Adaptive-Mixed-AT,Fixed-Saliency,k=9,94.03
Adaptive-Mixed-AT,Fixed-Saliency,k=12,92.68
Adaptive-Mixed-AT,Fixed-Saliency,k=15,91.24
Adaptive-Mixed-AT,Fixed-Saliency,r=1,94.03
Adaptive-Mixed-AT,Fixed-Saliency,r=2,91.27
Adaptive-Mixed-AT,Fixed-Saliency,r=3,86.48
Adaptive-Mixed-AT,Adaptive-Saliency,"N=3,R=3",86.13
Adaptive-Mixed-AT,Adaptive-Saliency,"N=5,R=3",76.06
Adaptive-Mixed-AT,Adaptive-Saliency,"N=7,R=3",65.19
Adaptive-Mixed-AT,Adaptive-Saliency,"N=10,R=3",50.66
Adaptive-Mixed-AT,Adaptive-Saliency,"N=5,R=2",85.89
Adaptive-Mixed-AT,Adaptive-Saliency,"N=5,R=3",76.06
Adaptive-Mixed-AT,Adaptive-Saliency,"N=5,R=4",63.13
Mixed-Occlusion-PGD-AT(10e),Clean,-,98.53
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,k=3,97.34
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,k=5,96.76
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,k=7,95.92
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,k=9,94.96
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,k=12,93.2
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,k=15,91.04
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,r=1,94.96
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,r=2,89.16
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,r=3,80.28
Mixed-Occlusion-PGD-AT(10e),Adaptive-Saliency,"N=3,R=3",82.85
Mixed-Occlusion-PGD-AT(10e),Adaptive-Saliency,"N=5,R=3",67.86
Mixed-Occlusion-PGD-AT(10e),Adaptive-Saliency,"N=7,R=3",54.5
Mixed-Occlusion-PGD-AT(10e),Adaptive-Saliency,"N=10,R=3",38.82
Mixed-Occlusion-PGD-AT(10e),Adaptive-Saliency,"N=5,R=2",83.32
Mixed-Occlusion-PGD-AT(10e),Adaptive-Saliency,"N=5,R=3",67.86
Mixed-Occlusion-PGD-AT(10e),Adaptive-Saliency,"N=5,R=4",52.73
Adaptive-Saliency-PGD-MixAT,Clean,-,98.91
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,k=3,97.79
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,k=5,96.97
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,k=7,96.34
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,k=9,95.48
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,k=12,94.24
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,k=15,92.56
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,r=1,95.48
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,r=2,93.64
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,r=3,89.27
Adaptive-Saliency-PGD-MixAT,Adaptive-Saliency,"N=3,R=3",88.65
Adaptive-Saliency-PGD-MixAT,Adaptive-Saliency,"N=5,R=3",80.65
Adaptive-Saliency-PGD-MixAT,Adaptive-Saliency,"N=7,R=3",70.64
Adaptive-Saliency-PGD-MixAT,Adaptive-Saliency,"N=10,R=3",54.7
Adaptive-Saliency-PGD-MixAT,Adaptive-Saliency,"N=5,R=2",87.66
Adaptive-Saliency-PGD-MixAT,Adaptive-Saliency,"N=5,R=3",80.65
Adaptive-Saliency-PGD-MixAT,Adaptive-Saliency,"N=5,R=4",69.41
