epoch,train_loss,train_acc,test_loss,test_acc,test_clean_acc
1,0.035363682068387664,98.32833333333333,0.06147828467339277,97.28,98.98
2,0.035617570488527414,98.295,0.07088731043115258,96.92,98.76
3,0.03446748137871424,98.355,0.06776667914390563,97.11,98.83
4,0.034630335864424704,98.32333333333332,0.058311135908961295,97.53,98.86
5,0.03215554831176996,98.42833333333333,0.06617913161218167,97.14,98.75
6,0.030632408694426218,98.51666666666667,0.06690999257564545,97.24000000000001,98.92999999999999
7,0.029893036831418675,98.555,0.05987990095615387,97.47,99.00999999999999
8,0.030168533712625505,98.52333333333333,0.0657469297260046,97.27,99.08
9,0.030918400663137436,98.49666666666667,0.0690672640165314,97.25,98.95
10,0.028733033731083074,98.62333333333333,0.07795128841400147,96.96000000000001,98.9
11,0.028648228460550308,98.65,0.06164740343093872,97.58,98.91
12,0.027885279972851278,98.72166666666666,0.06492926705032587,97.46000000000001,99.0
13,0.02563748220180472,98.76333333333334,0.0670429244386265,97.3,98.85000000000001
14,0.02562192801448206,98.76,0.06273575053885579,97.45,98.83999999999999
15,0.023730190846323967,98.87666666666667,0.06608802213668823,97.45,98.86
16,0.02418998007675012,98.83999999999999,0.06931525653600693,97.17,98.66
17,0.025421206235885622,98.73833333333333,0.06435231384038925,97.42,98.72
18,0.025061719114581743,98.80333333333333,0.06766852952111513,97.17,98.81
19,0.026296591820816197,98.715,0.07319858813285827,97.21,98.94
20,0.023120504424969355,98.86500000000001,0.07178371652513743,97.32,98.83
21,0.02259451650728782,98.90333333333334,0.06428251935932786,97.42,98.87
22,0.02376941521068414,98.9,0.07211059067249298,97.14,98.83
23,0.02281456418943902,98.92333333333333,0.06964701245743782,97.47,98.99
24,0.02030704263051351,99.02,0.06709574725925922,97.44,98.79
25,0.019414316581127543,99.06833333333334,0.07527481455495581,97.25,98.94
26,0.021088216508428254,99.01833333333333,0.07389618089422584,97.26,98.92999999999999
27,0.021187548012038072,98.98833333333333,0.06951103956862353,97.43,98.67
28,0.021291578998665014,98.97666666666667,0.06334807050079107,97.6,99.03
29,0.021102570521893602,99.04166666666666,0.06243339241743088,97.46000000000001,98.92999999999999
30,0.0168020715067784,99.215,0.06744172239303589,97.38,98.91
31,0.020370786592985194,98.995,0.07053969796672463,97.38,98.88
32,0.016717793348928294,99.2,0.06153599148392677,97.71,98.92999999999999
33,0.018055483343452215,99.17666666666666,0.06717961108684539,97.47,98.99
34,0.018476596997181575,99.16,0.061026866924762724,97.65,98.94
35,0.018520675230026245,99.14333333333335,0.06754556934833526,97.5,98.82
36,0.019048122645169495,99.09833333333333,0.06471124358922244,97.58,98.91
37,0.01889554607272148,99.13499999999999,0.07791174476146698,97.18,98.74000000000001
38,0.018345506843427818,99.14333333333335,0.08246862437725067,97.11999999999999,98.85000000000001
39,0.017395886206875245,99.20833333333333,0.07240477706193924,97.35000000000001,98.8
40,0.01703465860510866,99.24333333333333,0.07650799784483388,97.37,98.92
41,0.018360684313749275,99.19666666666667,0.06844028122941963,97.76,99.0
42,0.01804815170764923,99.14666666666668,0.07237734427759424,97.36,98.94
43,0.018649578147629898,99.125,0.07618131083336194,97.25,98.92
44,0.017684811153262852,99.19833333333334,0.059429060435295104,97.69,99.03
45,0.016473701578875382,99.26166666666667,0.0661180807709694,97.8,98.91
46,0.01798820531020562,99.185,0.07704447799399496,97.34,98.75
47,0.014550119249522686,99.33,0.06908759960122407,97.44,98.86
48,0.014528925216943026,99.30333333333333,0.07857020619213581,97.28999999999999,98.88
49,0.016701231782262523,99.25,0.07050261278152466,97.50999999999999,98.83
50,0.016388688891132673,99.24666666666667,0.0703870964884758,97.46000000000001,98.88
