epoch,train_loss,train_acc,test_loss,test_acc,test_clean_acc
1,1.0678485646247864,42.833333333333336,0.7503633726119995,55.02,93.94
2,0.6954727650324504,59.21666666666666,0.6271863900184631,62.23,95.57
3,0.5572703923861185,67.13666666666667,0.4905569815158844,70.98,96.85000000000001
4,0.46750679829915365,72.48,0.4331493706703186,74.25,97.46000000000001
5,0.4092450085957845,75.67,0.3872994790554047,76.37,97.83
6,0.376375306447347,77.41833333333334,0.36655548820495604,77.66999999999999,97.76
7,0.35758894651730855,78.52333333333334,0.352646431350708,78.36999999999999,97.85000000000001
8,0.33368027510643006,79.84666666666666,0.3185216695308685,80.67,98.11999999999999
9,0.31547120887438457,80.79833333333333,0.3121938998222351,80.96,98.18
10,0.3088393897851308,81.315,0.3268319756269455,79.67999999999999,97.83
11,0.29863894494374593,81.755,0.30122540984153745,81.19,98.05
12,0.2839009147644043,82.565,0.28292548289299013,82.72,98.1
13,0.2745345965544383,83.10166666666666,0.287606689286232,82.21000000000001,98.36
14,0.26255178411801655,83.80499999999999,0.28663809638023374,82.19999999999999,98.13
15,0.2582050549030304,84.05166666666666,0.25957888245582583,84.09,98.52
16,0.2536918919245402,84.29166666666667,0.25161253514289855,84.89999999999999,98.45
17,0.2408559028307597,85.25166666666667,0.26400024614334106,83.87,98.42
18,0.23819627838134766,85.31833333333333,0.26794384565353396,83.69,98.33
19,0.23220184308687847,85.595,0.25396193602085115,84.64,98.42
20,0.22994475022157032,85.84833333333334,0.24490004353523254,84.95,98.59
21,0.22199711270332337,86.34666666666668,0.24777656621932984,84.95,98.39
22,0.2171780933856964,86.59833333333333,0.2537565155982971,84.64,98.24000000000001
23,0.2146772891918818,86.85833333333333,0.2213881206512451,86.50999999999999,98.6
24,0.20833382258415223,87.28666666666666,0.23771619458198548,85.32,98.16
25,0.2064859939177831,87.265,0.22360428347587585,86.17,98.0
26,0.20141163229942322,87.55833333333334,0.2267972460269928,85.77,98.45
27,0.19962031400998434,87.73833333333333,0.23749629468917846,85.58,98.3
28,0.192110925757885,88.10333333333334,0.21463384110927583,87.21,98.58
29,0.19185971550941466,88.22833333333332,0.22868458461761473,86.29,98.24000000000001
30,0.19182795015970866,88.24166666666666,0.2243959545135498,86.5,98.42
31,0.18701897820631663,88.51333333333334,0.21002246901988983,87.14,98.5
32,0.18665544034639994,88.56166666666667,0.21937694573402405,86.61999999999999,98.24000000000001
33,0.18409687802791597,88.87833333333333,0.20879688901901244,87.12,98.27
34,0.17778913913170497,89.03166666666667,0.2069540095090866,87.94,98.46000000000001
35,0.17476423654556275,89.20166666666667,0.21371608180999757,86.61999999999999,98.36
36,0.1764713797966639,89.08500000000001,0.1992112892627716,87.9,98.47
37,0.1748999822219213,89.17,0.21719076738357543,86.78,98.57000000000001
38,0.17479322458108265,89.24499999999999,0.20463244256973268,87.87,98.50999999999999
39,0.17336507116158803,89.46666666666667,0.20279185247421264,87.29,98.39
40,0.17159508470694224,89.375,0.1895081088542938,88.28,98.55000000000001
41,0.16777872871557872,89.73666666666666,0.20015700274705886,88.03,98.56
42,0.16260298763116202,89.96833333333333,0.19267861371040343,88.42,98.46000000000001
43,0.15846424372990925,90.16,0.186257515001297,88.7,98.4
44,0.160501376748085,90.16333333333333,0.19133454658985138,88.16000000000001,98.06
45,0.1605735755999883,90.09833333333333,0.19098359265327453,88.48,98.49
46,0.15883145673274993,90.32333333333334,0.19700105254650116,88.0,98.58
47,0.15436826426188152,90.49666666666667,0.18182625023126603,88.56,98.69
48,0.15769622825781504,90.44,0.21506107678413391,86.74,98.42999999999999
49,0.15678146970272064,90.43833333333333,0.19626693397760392,88.5,98.35000000000001
50,0.15769660271803537,90.34666666666666,0.19881416437625885,88.17,98.67
