attack,param,N,R,accuracy,top_k
Adaptive,"N=3,R=3",3.0,3.0,57.54,
Adaptive,"N=5,R=3",5.0,3.0,35.13,
Adaptive,"N=7,R=3",7.0,3.0,22.31,
Adaptive,"N=10,R=3",10.0,3.0,11.82,
Adaptive,"N=5,R=2",5.0,2.0,78.35,
Adaptive,"N=5,R=3",5.0,3.0,35.13,
Adaptive,"N=5,R=4",5.0,4.0,17.19,
Fixed,top_k=3,,,99.02,3.0
Fixed,top_k=5,,,98.8,5.0
Fixed,top_k=7,,,98.47,7.0
Fixed,top_k=9,,,98.13,9.0
Fixed,top_k=12,,,97.06,12.0
Fixed,top_k=15,,,95.59,15.0
