Model,Clean,"Adaptive(N=5,R=3)","Adaptive(N=10,R=3)",Fixed(k=9)
Standard,99.0,16.67,3.55,56.61
Adaptive-Inequality-IG-AT,98.86,35.13,11.82,98.13
