Model,Clean,FGSM,PGD(Linf),CW(Linf),PGD(L2),MSD,Occl(Fixed),Occl(Adaptive)
Standard,99.0,79.46,33.88,34.05,67.83,35.63,28.64,16.66
PGD-AT(Linf),99.3,96.1,95.01,95.07,92.77,95.03,49.17,25.42
FGSM-AT,99.2,95.68,90.59,91.06,91.54,91.05,54.14,25.55
Occlusion-AT(Fixed),95.75,3.24,0.0,0.0,0.34,0.0,97.34,64.23
